iter	Passed	Remaining
552	1215	982
553	1217	979
554	1219	977
555	1221	975
556	1223	973
557	1225	970
558	1227	968
559	1229	965
560	1230	963
561	1233	960
562	1235	959
563	1236	956
564	1238	953
565	1240	950
566	1241	948
567	1243	945
568	1245	943
569	1247	940
570	1249	938
571	1251	936
572	1253	934
573	1255	931
574	1257	929
575	1259	926
576	1262	925
577	1264	923
578	1265	920
579	1267	917
580	1269	915
581	1271	912
582	1272	910
583	1273	907
584	1276	905
585	1278	903
586	1280	900
587	1282	898
588	1283	895
589	1285	893
590	1287	891
591	1290	889
592	1293	887
593	1295	885
594	1296	882
595	1298	880
596	1300	877
597	1302	875
598	1304	873
599	1306	871
600	1308	868
601	1310	866
602	1311	863
603	1313	861
604	1315	858
605	1317	856
606	1319	854
607	1321	851
608	1322	849
609	1324	846
610	1326	844
611	1327	841
612	1329	839
613	1331	836
614	1332	834
615	1335	832
616	1337	830
617	1339	827
618	1340	825
619	1342	822
620	1343	820
621	1345	817
622	1348	815
623	1350	813
624	1351	811
625	1353	808
626	1355	806
627	1356	803
628	1358	801
629	1359	798
630	1361	796
631	1364	794
632	1366	792
633	1368	789
634	1369	787
635	1371	785
636	1373	782
637	1375	780
638	1377	778
639	1379	776
640	1382	774
641	1384	771
642	1386	769
643	1388	767
644	1391	765
645	1394	764
646	1396	762
647	1399	760
648	1400	757
649	1402	755
650	1406	753
651	1408	751
652	1410	749
653	1412	747
654	1413	744
655	1415	742
656	1417	740
657	1420	738
658	1422	736
659	1424	733
660	1426	731
661	1427	729
662	1429	726
663	1431	724
664	1434	722
665	1436	720
666	1438	718
667	1440	716
668	1443	714
669	1445	712
670	1448	710
671	1450	708
672	1452	705
673	1454	703
674	1456	701
675	1458	699
676	1461	697
677	1464	695
678	1466	693
679	1468	691
680	1470	688
681	1472	686
682	1475	684
683	1478	682
684	1481	681
685	1484	679
686	1486	677
687	1489	675
688	1492	673
689	1494	671
690	1496	669
691	1500	667
692	1505	666
693	1507	664
694	1509	662
695	1511	660
696	1514	658
697	1518	656
698	1521	655
699	1523	653
700	1526	651
701	1528	648
702	1531	646
703	1533	644
704	1535	642
705	1538	640
706	1540	638
707	1542	636
708	1546	634
709	1548	632
710	1551	630
711	1553	628
712	1555	626
713	1557	623
714	1560	622
715	1562	619
716	1565	617
717	1567	615
718	1569	613
719	1571	611
720	1572	608
721	1575	606
722	1577	604
723	1580	602
724	1582	600
725	1584	598
726	1586	595
727	1589	593
728	1591	591
729	1594	589
730	1596	587
731	1598	585
732	1600	582
733	1602	580
734	1605	578
735	1608	576
736	1610	574
737	1612	572
738	1614	570
739	1616	567
740	1618	565
741	1620	563
742	1623	561
743	1625	559
744	1626	556
745	1628	554
746	1631	552
747	1634	550
748	1636	548
749	1638	546
750	1640	543
751	1642	541
752	1643	539
753	1646	537
754	1648	534
755	1650	532
756	1652	530
757	1654	528
758	1655	525
759	1657	523
760	1660	521
761	1662	519
762	1665	517
763	1667	515
764	1670	513
765	1672	510
766	1675	508
767	1677	506
768	1679	504
769	1681	502
770	1683	499
771	1685	497
772	1687	495
773	1690	493
774	1692	491
775	1694	489
776	1696	486
777	1698	484
778	1700	482
779	1703	480
780	1706	478
781	1708	476
782	1710	474
783	1712	471
784	1714	469
785	1717	467
786	1719	465
787	1721	463
788	1723	461
789	1725	458
790	1728	456
791	1731	454
792	1733	452
793	1736	450
794	1738	448
795	1740	446
796	1742	443
797	1744	441
798	1747	439
799	1749	437
800	1751	435
801	1754	433
802	1755	430
803	1758	428
804	1760	426
805	1762	424
806	1764	422
807	1766	419
808	1768	417
809	1770	415
810	1773	413
811	1775	411
812	1777	408
813	1779	406
814	1781	404
815	1783	402
816	1785	399
817	1787	397
818	1789	395
819	1792	393
820	1794	391
821	1796	388
822	1798	386
823	1800	384
824	1802	382
825	1804	380
826	1806	377
827	1808	375
828	1810	373
829	1811	371
830	1813	368
831	1816	366
832	1818	364
833	1820	362
834	1821	360
835	1823	357
836	1825	355
837	1827	353
838	1828	350
839	1830	348
840	1832	346
841	1834	344
842	1836	342
843	1837	339
844	1839	337
845	1841	335
846	1842	332
847	1844	330
848	1847	328
849	1849	326
850	1851	324
851	1853	322
852	1855	319
853	1858	317
854	1861	315
855	1863	313
856	1865	311
857	1867	309
858	1869	306
859	1871	304
860	1873	302
861	1875	300
862	1877	298
863	1879	295
864	1882	293
865	1884	291
866	1886	289
867	1888	287
868	1891	285
869	1893	282
870	1896	280
871	1898	278
872	1900	276
873	1902	274
874	1904	272
875	1906	269
876	1909	267
877	1911	265
878	1913	263
879	1916	261
880	1918	259
881	1920	256
882	1924	254
883	1926	252
884	1928	250
885	1930	248
886	1933	246
887	1936	244
888	1939	242
889	1941	239
890	1943	237
891	1945	235
892	1949	233
893	1952	231
894	1954	229
895	1956	227
896	1958	224
897	1961	222
898	1963	220
899	1966	218
900	1968	216
901	1971	214
902	1972	211
903	1974	209
904	1977	207
905	1979	205
906	1981	203
907	1983	200
908	1985	198
909	1987	196
910	1990	194
911	1992	192
912	1995	190
913	1997	187
914	1999	185
915	2001	183
916	2003	181
917	2006	179
918	2008	177
919	2010	174
920	2012	172
921	2014	170
922	2016	168
923	2018	166
924	2020	163
925	2023	161
926	2025	159
927	2027	157
928	2029	155
929	2031	152
930	2034	150
931	2036	148
932	2038	146
933	2041	144
934	2043	142
935	2044	139
936	2047	137
937	2049	135
938	2052	133
939	2054	131
940	2056	128
941	2058	126
942	2062	124
943	2064	122
944	2066	120
945	2068	118
946	2070	115
947	2072	113
948	2074	111
949	2076	109
950	2078	107
951	2080	104
952	2082	102
953	2083	100
954	2085	98
955	2087	96
956	2089	93
957	2091	91
958	2093	89
959	2095	87
960	2097	85
961	2098	82
962	2100	80
963	2102	78
964	2105	76
965	2107	74
966	2109	71
967	2111	69
968	2112	67
969	2114	65
970	2116	63
971	2120	61
972	2122	58
973	2124	56
974	2126	54
975	2128	52
976	2129	50
977	2132	47
978	2135	45
979	2138	43
980	2140	41
981	2142	39
982	2144	37
983	2148	34
984	2150	32
985	2153	30
986	2155	28
987	2157	26
988	2159	24
989	2162	21
990	2164	19
991	2166	17
992	2168	15
993	2170	13
994	2172	10
995	2175	8
996	2177	6
997	2179	4
998	2181	2
999	2183	0
